,date,amount
0,2020-11-09,33.0
1,2020-11-10,48.0
2,2020-11-11,45.0
3,2020-11-12,45.0
4,2020-11-13,38.0
5,2020-11-14,38.0
6,2020-11-15,38.0
7,2020-11-16,41.0
8,2020-11-17,45.0
9,2020-11-18,49.0
10,2020-11-19,47.0
11,2020-11-20,44.0
12,2020-11-21,44.0
13,2020-11-22,44.0
14,2020-11-23,41.0
15,2020-11-24,51.0
16,2020-11-25,53.0
17,2020-11-26,80.0
18,2020-11-27,46.0
19,2020-11-28,46.0
20,2020-11-29,46.0
21,2020-11-30,44.0
22,2020-12-01,78.0
23,2020-12-02,27.0
24,2020-12-03,75.0
25,2020-12-04,69.0
26,2020-12-05,69.0
27,2020-12-06,69.0
28,2020-12-07,69.0
29,2020-12-08,69.0
30,2020-12-09,36.0
31,2020-12-10,60.0
32,2020-12-11,38.0
33,2020-12-12,38.0
34,2020-12-13,38.0
35,2020-12-14,41.0
36,2020-12-15,83.0
37,2020-12-16,46.0
