_id,id,username,aula,sede,polo,inDate,date,posto,outDate
5fa8ef7d1bd2a03f4641a15e,81929,1,1,1,1,11/9/2020 8:27,11/9/2020 8:27,1,11/9/2020 13:05
5fa8efa51bd2a03f4641a15f,81098,2,1,1,1,11/9/2020 8:28,11/9/2020 8:28,2,11/9/2020 13:05
5fa8f0751bd2a03f4641a160,81009,3,1,1,1,11/9/2020 8:32,11/9/2020 8:32,3,11/9/2020 13:05
5fa8f0811bd2a03f4641a161,80492,4,1,1,1,11/9/2020 8:32,11/9/2020 8:32,4,11/9/2020 8:32
5fa8f0891bd2a03f4641a162,80492,4,1,1,1,11/9/2020 8:32,11/9/2020 8:32,5,11/9/2020 8:32
5fa8f16b1bd2a03f4641a163,81974,5,1,1,1,11/9/2020 8:36,11/9/2020 8:36,6,11/9/2020 8:53
5fa8f17d1bd2a03f4641a164,80436,6,2,1,2,11/9/2020 8:36,11/9/2020 8:36,1,11/9/2020 11:03
5fa8f1951bd2a03f4641a165,81613,7,2,1,2,11/9/2020 8:36,11/9/2020 8:36,2,11/9/2020 11:03
5fa8f3981bd2a03f4641a166,81034,8,1,1,1,11/9/2020 8:45,11/9/2020 8:45,7,11/9/2020 8:52
5fa8f39f1bd2a03f4641a167,81033,9,1,1,1,11/9/2020 8:45,11/9/2020 8:45,8,11/9/2020 8:52
5fa8f3b21bd2a03f4641a168,80716,10,1,1,1,11/9/2020 8:45,11/9/2020 8:45,9,11/9/2020 13:05
5fa8f3d71bd2a03f4641a169,80560,11,3,1,3,11/9/2020 8:46,11/9/2020 8:46,1,11/9/2020 13:05
5fa8f3db1bd2a03f4641a16a,77587,12,3,1,3,11/9/2020 8:46,11/9/2020 8:46,2,11/9/2020 13:05
5fa8f4071bd2a03f4641a16b,80564,13,1,1,1,11/9/2020 8:47,11/9/2020 8:47,10,11/9/2020 13:05
5fa8f4091bd2a03f4641a16c,81011,14,1,1,1,11/9/2020 8:47,11/9/2020 8:47,11,11/9/2020 13:05
5fa8f40e1bd2a03f4641a16d,80251,15,1,1,1,11/9/2020 8:47,11/9/2020 8:47,12,11/9/2020 12:44
5fa8f4841bd2a03f4641a16e,80458,16,1,1,1,11/9/2020 8:49,11/9/2020 8:49,13,11/9/2020 13:05
5fa8f4891bd2a03f4641a16f,80847,17,1,1,1,11/9/2020 8:49,11/9/2020 8:49,14,11/9/2020 13:05
5fa8f4e31bd2a03f4641a170,80474,18,1,1,1,11/9/2020 8:50,11/9/2020 8:50,15,11/9/2020 13:05
5fa8f51d1bd2a03f4641a171,80718,19,1,1,1,11/9/2020 8:51,11/9/2020 8:51,16,11/9/2020 13:05
5fa8f52e1bd2a03f4641a172,81682,20,1,1,1,11/9/2020 8:52,11/9/2020 8:52,17,11/9/2020 13:05
5fa8f5331bd2a03f4641a173,81081,21,1,1,1,11/9/2020 8:52,11/9/2020 8:52,18,11/9/2020 13:05
5fa8f53e1bd2a03f4641a174,81034,8,1,1,1,11/9/2020 8:52,11/9/2020 8:52,19,11/9/2020 13:05
5fa8f5401bd2a03f4641a175,81033,9,1,1,1,11/9/2020 8:52,11/9/2020 8:52,20,11/9/2020 13:05
5fa8f57d1bd2a03f4641a176,81012,22,2,1,2,11/9/2020 8:53,11/9/2020 8:53,3,11/9/2020 11:01
5fa8f5871bd2a03f4641a177,81974,5,2,1,2,11/9/2020 8:53,11/9/2020 8:53,4,11/9/2020 11:03
5fa8f58b1bd2a03f4641a178,81163,23,2,1,2,11/9/2020 8:53,11/9/2020 8:53,5,11/9/2020 11:02
5fa8f5981bd2a03f4641a179,113,24,3,1,3,11/9/2020 8:54,11/9/2020 8:54,3,11/9/2020 13:05
5fa8f5cf1bd2a03f4641a17a,81241,25,4,2,4,11/9/2020 8:54,11/9/2020 8:54,1,11/9/2020 13:05
5fa8f5d41bd2a03f4641a17b,81902,26,4,2,4,11/9/2020 8:55,11/9/2020 8:55,2,11/9/2020 13:05
5fa8f5e81bd2a03f4641a17c,60152,27,5,1,3,11/9/2020 8:55,11/9/2020 8:55,1,11/9/2020 8:55
5fa8f5f21bd2a03f4641a17d,60152,27,5,1,3,11/9/2020 8:55,11/9/2020 8:55,2,11/9/2020 8:55
5fa8f5f51bd2a03f4641a17e,81181,28,4,2,4,11/9/2020 8:55,11/9/2020 8:55,3,11/9/2020 13:05
5fa8f5fb1bd2a03f4641a17f,60152,27,5,1,3,11/9/2020 8:55,11/9/2020 8:55,3,11/9/2020 13:05
5fa8f6021bd2a03f4641a180,81568,29,4,2,4,11/9/2020 8:55,11/9/2020 8:55,4,11/9/2020 13:05
5fa8f60c1bd2a03f4641a181,82534,30,4,2,4,11/9/2020 8:55,11/9/2020 8:55,5,11/9/2020 12:46
5fa8f6271bd2a03f4641a182,80425,31,1,1,5,11/9/2020 8:56,11/9/2020 8:56,1,11/9/2020 10:55
5fa8f6301bd2a03f4641a183,80486,32,1,1,5,11/9/2020 8:56,11/9/2020 8:56,2,11/9/2020 10:57
5fa8f6451bd2a03f4641a184,80176,33,4,2,4,11/9/2020 8:56,11/9/2020 8:56,6,11/9/2020 13:05
5fa8f6481bd2a03f4641a185,80849,34,6,1,6,11/9/2020 8:56,11/9/2020 8:56,1,11/9/2020 11:06
5fa8f6701bd2a03f4641a186,511,35,5,1,3,11/9/2020 8:57,11/9/2020 8:57,4,11/9/2020 13:05
5fa8f6771bd2a03f4641a187,80492,4,2,1,2,11/9/2020 8:57,11/9/2020 8:57,6,11/9/2020 13:05
