,room,date_x,Sede,aulaId,aulaDes,capienza,poloDes,bookings
0,5f5bd5fafc7a3450ea06e81c,2020-11-08 17:10:20.328000+00:00,1,,112,11,26,26
1,5f5bd5fafc7a3450ea06e81c,2020-11-09 08:18:33.344000+00:00,1,,112,11,26,38
2,5f5bd5fafc7a3450ea06e81c,2020-11-12 07:45:37.079000+00:00,1,,112,11,26,21
3,5f5bd5fafc7a3450ea06e81c,2020-11-12 09:00:15.960000+00:00,1,,112,11,26,31
4,5f5bd5fafc7a3450ea06e81c,2020-11-13 07:55:08.231000+00:00,1,,112,11,26,23
5,5f5bd5fafc7a3450ea06e81c,2020-11-16 17:14:14.412000+00:00,1,,112,11,26,19
6,5f5bd5fafc7a3450ea06e81c,2020-11-16 22:24:16.572000+00:00,1,,112,11,26,32
7,5f5bd5fafc7a3450ea06e81c,2020-11-19 06:15:15.270000+00:00,1,,112,11,26,33
8,5f5bd5fafc7a3450ea06e81c,2020-11-20 15:40:45.645000+00:00,1,,112,11,26,28
9,5f5bd5fafc7a3450ea06e81c,2020-11-23 07:42:15.551000+00:00,1,,112,11,26,14
10,5f5bd5fafc7a3450ea06e81c,2020-11-23 07:42:29.621000+00:00,1,,112,11,26,16
11,5f5bd5fafc7a3450ea06e81c,2020-11-25 03:39:17.367000+00:00,1,,112,11,26,17
12,5f5bd5fafc7a3450ea06e81c,2020-11-26 08:32:06.568000+00:00,1,,112,11,26,9
13,5f5bd5fafc7a3450ea06e81c,2020-11-27 08:48:54.945000+00:00,1,,112,11,26,23
14,5f5bd5fafc7a3450ea06e81c,2020-11-30 10:58:20.879000+00:00,1,,112,11,26,17
15,5f5bd5fafc7a3450ea06e81c,2020-12-01 15:50:43.533000+00:00,1,,112,11,26,6
16,5f5bd5fafc7a3450ea06e81c,2020-12-02 08:45:37.141000+00:00,1,,112,11,26,16
17,5f5bd5fafc7a3450ea06e81c,2020-12-03 18:48:25.686000+00:00,1,,112,11,26,14
18,5f5bd5fafc7a3450ea06e81c,2020-12-03 21:10:31.627000+00:00,1,,112,11,26,6
19,5f5bd5fafc7a3450ea06e81c,2020-12-07 06:51:21.016000+00:00,1,,112,11,26,14
20,5f5bd5fafc7a3450ea06e81c,2020-12-07 06:51:38.459000+00:00,1,,112,11,26,13
21,5f5bd5fafc7a3450ea06e81c,2020-12-08 09:46:57.482000+00:00,1,,112,11,26,1
22,5f5bd5fafc7a3450ea06e81c,2020-12-10 20:49:21.465000+00:00,1,,112,11,26,14
23,5f5bd5fafc7a3450ea06e81c,2020-12-13 14:04:17.301000+00:00,1,,112,11,26,19
24,5f5bd5fafc7a3450ea06e81c,2020-12-14 07:49:38.170000+00:00,1,,112,11,26,22
25,5f5bd5fafc7a3450ea06e81c,2020-12-15 09:24:59.995000+00:00,1,,112,11,26,0
26,5f5bd5fafc7a3450ea06e81c,2020-12-15 19:55:51.692000+00:00,1,,112,11,26,16
27,5f5bd5fafc7a3450ea06e81c,2020-12-16 10:11:15.110000+00:00,1,,112,11,26,8
28,5f5bd5fafc7a3450ea06e81c,2020-12-17 23:49:53.151000+00:00,1,,112,11,26,4
29,5f5bd5fafc7a3450ea06e81c,2020-12-21 00:20:59.897000+00:00,1,,112,11,26,4
30,5f5cc739fc7a3450ea06e838,2020-11-08 20:47:29.186000+00:00,1,,115,10,10,1
31,5f5cc739fc7a3450ea06e838,2020-11-09 16:44:39.238000+00:00,1,,115,10,10,2
32,5f5cc739fc7a3450ea06e838,2020-11-15 10:41:16.618000+00:00,1,,115,10,10,4
33,5f5cc739fc7a3450ea06e838,2020-11-16 22:27:59.525000+00:00,1,,115,10,10,3
34,5f5cc739fc7a3450ea06e838,2020-11-19 13:50:14.542000+00:00,1,,115,10,10,1
